promptKey,temperature,timesteps,rewards,hitActions,standActions,randomActions,DateTime
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-25 18:22:39.295056
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-25 18:22:39.495435
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-25 18:22:39.628691
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-25 18:22:39.762393
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-25 18:22:39.895970
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-25 18:22:40.027587
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-25 18:22:40.095748
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-25 18:22:40.163479
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-25 18:22:40.365771
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-25 18:22:40.497571
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-25 18:22:40.695613
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-25 18:22:40.829515
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-25 18:22:40.960810
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-25 18:22:41.026959
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-25 18:22:41.093138
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-25 18:22:41.227892
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-25 18:22:41.424242
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-25 18:22:41.491435
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-25 18:22:41.625260
zero_shot_prompt,0.7,5,-1.0,5,0,0,2024-04-25 18:22:42.013238
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-25 18:22:42.147014
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-25 18:22:42.213181
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-25 18:22:42.345308
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-25 18:22:42.411394
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-25 18:22:42.477296
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-25 18:22:42.675671
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-25 18:22:42.741968
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-25 18:22:42.808508
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-25 18:22:43.005614
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-25 18:22:43.071961
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-25 18:22:43.268993
zero_shot_prompt,0.7,1,-1.0,1,0,0,2024-04-25 18:22:43.337585
zero_shot_prompt,0.7,4,-1.0,4,0,0,2024-04-25 18:22:43.610906
zero_shot_prompt,0.7,2,-1.0,2,0,0,2024-04-25 18:22:43.740982
zero_shot_prompt,0.7,3,-1.0,3,0,0,2024-04-25 18:22:43.936067
